#lnL 	x[] 	 df 
621326.505361	-0.766802858514	-3.40119738166	0.0	0.0
621326.505307	-0.766802848514	-3.40119738166	0.0	0.0
621326.505416	-0.766802858514	-3.40119737166	0.0	0.0
661299.567255	-0.0599559454127	-4.10856393547	0.0	0.0
661299.568062	-0.0599559354127	-4.10856393547	0.0	0.0
661299.566449	-0.0599559454127	-4.10856392547	0.0	0.0
620797.892254	-0.687615130032	-3.48044332525	0.0	0.0
620797.892243	-0.687615120032	-3.48044332525	0.0	0.0
620797.892264	-0.687615130032	-3.48044331525	0.0	0.0
620780.847889	-0.668779807463	-3.49911485425	0.0	0.0
620780.84789	-0.668779797463	-3.49911485425	0.0	0.0
620780.847887	-0.668779807463	-3.49911484425	0.0	0.0
620780.513932	-0.67102894167	-3.496733207	0.0	0.0
620780.513932	-0.67102893167	-3.496733207	0.0	0.0
620780.513932	-0.67102894167	-3.496733197	0.0	0.0
620780.513094	-0.670909319145	-3.49670973265	0.0	0.0
620780.513094	-0.670909309145	-3.49670973265	0.0	0.0
620780.513094	-0.670909319145	-3.49670972265	0.0	0.0
