#lnL 	x[] 	 df 
1082458.89947	[-3.40119738]	0.0
1082458.89947	[-3.40119737]	0.0
1082450.41705	[-4.40119738]	0.0
1082450.41705	[-4.40119737]	0.0
1082449.68234	[-4.13226384]	0.0
1082449.68234	[-4.13226383]	0.0
1082449.61298	[-4.19322211]	0.0
1082449.61298	[-4.1932221]	0.0
1082449.61309	[-4.19204984]	0.0
1082449.61309	[-4.19204983]	0.0
1082449.61299	[-4.19307642]	0.0
1082449.61299	[-4.19307641]	0.0
1082449.61298	[-4.19321014]	0.0
1082449.61298	[-4.19321013]	0.0
1082449.61298	[-4.19322091]	0.0
1082449.61298	[-4.1932209]	0.0
1082449.61298	[-4.19322185]	0.0
1082449.61298	[-4.19322184]	0.0
1082449.61298	[-4.19322209]	0.0
1082449.61298	[-4.19322208]	0.0
1082449.61298	[-4.19322211]	0.0
1082449.61298	[-4.1932221]	0.0
-1008527.77686	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	0.711961595955	-2.40119737166	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008527.02147	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	0.87783514136	-2.23532382626	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008527.02147	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	0.87783515136	-2.23532381626	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008526.24368	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	1.16671605246	-1.94644291516	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008526.24368	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	1.16671606246	-1.94644290516	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008525.2172	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	1.61187680071	-1.50128216691	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008525.2172	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	1.61187681071	-1.50128215691	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008525.94371	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	3.11315896762	0.0	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008525.94371	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	3.11315897762	1e-08	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.35756	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.28236016237	-0.830798805251	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.35756	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.28236017237	-0.830798795251	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.40634	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.05577867003	-1.05738029759	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.40634	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.05577868003	-1.05738028759	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.34397	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.21110148141	-0.902057486211	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.34397	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.21110149141	-0.902057476211	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.34397	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.20601157562	-0.907147391994	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.34397	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.20601158562	-0.907147381994	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.34396	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.20940720287	-0.90375176475	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
-1008524.34396	-0.729050149352	-0.470013204035	-0.757034117198	2.34553831338	-0.700362708068	2.19325937648	2.20940721287	-0.90375175475	-3.9887807847	-5.71507111685	-4.15518881369	-4.06018639222	-6.07791854462	-5.80297225703	-6.336919962	-5.35526641332	-6.95840714912	-5.57056863439	-6.04517291611	-5.68466731436
