#Tract_length	Init_rate	lnL	
15.0	0.523153655123	1281401.1823	
15.0	0.784730482684	1268799.70155	
15.0	1.04630731025	1265806.95867	
15.0	1.30788413781	1267808.59401	
21.0	0.373681182231	1281386.31531	
21.0	0.560521773346	1268793.82827	
21.0	0.747362364461	1265802.63586	
21.0	0.934202955576	1267802.37006	
27.0	0.290640919513	1281374.17322	
27.0	0.435961379269	1268790.6532	
27.0	0.581281839025	1265801.11864	
27.0	0.726602298782	1267799.07947	
33.0	0.237797115965	1281364.0935	
33.0	0.356695673947	1268789.42352	
33.0	0.47559423193	1265801.59074	
33.0	0.594492789912	1267797.86962	
39.0	0.201212944278	1281355.63272	
39.0	0.301819416417	1268789.67754	
39.0	0.402425888556	1265803.56929	
39.0	0.503032360695	1267798.24501	
45.0	0.174384551708	1281348.49578	
45.0	0.261576827561	1268791.11739	
45.0	0.348769103415	1265806.74935	
45.0	0.435961379269	1267799.89734	
