#Tract_length	Init_rate	lnL	
27.0	0.538877880612	544988.879347	
27.0	0.568815540646	545026.114174	
27.0	0.59875320068	545069.769261	
27.0	0.628690860714	545119.21337	
27.0	0.658628520748	545173.903408	
28.2	0.515946906969	546358.10283	
28.2	0.544610624022	546388.424586	
28.2	0.573274341076	546425.170424	
28.2	0.60193805813	546467.709105	
28.2	0.630601775184	546515.49754	
29.4	0.494887849541	547674.661214	
29.4	0.52238161896	547698.631529	
29.4	0.549875388379	547729.029287	
29.4	0.577369157798	547765.223252	
29.4	0.604862927217	547806.670335	
30.6	0.475480482893	548942.412862	
30.6	0.501896065276	548960.527597	
30.6	0.528311647659	548985.07275	
30.6	0.554727230041	549015.417083	
30.6	0.581142812424	549051.01751	
31.8	0.457537823161	550164.810979	
31.8	0.482956591114	550177.510112	
31.8	0.508375359068	550196.642304	
31.8	0.533794127021	550221.576321	
31.8	0.559212894974	550251.769074	
33.0	0.440900084137	551344.957876	
33.0	0.465394533256	551352.633592	
33.0	0.489888982374	551366.744726	
33.0	0.514383431493	551386.660044	
33.0	0.538877880612	551411.836459	
34.2	0.425429905746	552485.650544	
34.2	0.44906490051	552488.653916	
34.2	0.472699895273	552498.094821	
34.2	0.496334890037	552513.342024	
34.2	0.519969884801	552533.85244	
