#Tract_length	Init_rate	lnL	
15.0	0.365906498338	1253173.04447	
15.0	0.548859747507	1242428.28223	
15.0	0.731812996676	1239679.12615	
15.0	0.914766245845	1241669.25412	
21.0	0.261361784527	1253161.17917	
21.0	0.392042676791	1242425.32329	
21.0	0.522723569054	1239677.40321	
21.0	0.653404461318	1241664.08032	
27.0	0.203281387966	1253150.54586	
27.0	0.304922081948	1242423.55505	
27.0	0.406562775931	1239677.45426	
27.0	0.508203469914	1241661.58546	
33.0	0.166321135608	1253141.06482	
33.0	0.249481703412	1242422.77677	
33.0	0.332642271216	1239678.88057	
33.0	0.415802839021	1241661.14675	
39.0	0.140733268592	1253132.63851	
39.0	0.211099902887	1242422.83697	
39.0	0.281466537183	1239681.39354	
39.0	0.351833171479	1241662.30493	
45.0	0.121968832779	1253125.154	
45.0	0.182953249169	1242423.60633	
45.0	0.243937665559	1239684.77442	
45.0	0.304922081948	1241664.71924	
